"scene_id","order","char_id","emotion","text"
"intro","1","koharu","nervous","先生…最近デスクワーク続きで…肩と首がつらくて…"
"intro","2","koharu","normal","お願いします！しっかりほぐしてもらえませんか？"
"intro","3","koharu","smile","よろしくお願いします♪"
"intro","1","suzu","nervous","お疲れ様です！立ち仕事で足腰がパンパンで…"
"intro","2","suzu","normal","看護師の仕事って体力勝負なんです…よろしくお願いします"
"intro","3","suzu","smile","プロの手技、楽しみにしています♪"
"intro","1","michiru","nervous","あの…勉強で前かがみになることが多くて背中が…"
"intro","2","michiru","normal","友達に紹介されて来ました！お願いします"
"intro","3","michiru","smile","初めてだから緊張しちゃいます♪"
"therapy_start","1","koharu","normal","それでは、リラックスしてくださいね"
"therapy_start","2","koharu","nervous","う、緊張しちゃいます…"
"therapy_progress_1","1","koharu","relaxed","あ…だんだん楽になってきました…"
"therapy_progress_2","1","koharu","sleepy","ふわぁ…とても気持ちいいです…"
"therapy_progress_3","1","koharu","sleepy","このまま眠っちゃいそう…zzz"
"ending_e1","1","koharu","happy","肩が羽みたいに軽い！ありがとうございます！"
"ending_e2","1","koharu","confident","背筋が伸びて視界スッキリ！姿勢も良くなった気がします"
"ending_e3","1","koharu","sleepy","全身ぽかぽか…ぐっすり眠れそうです…"
"ending_e4","1","koharu","amazed","プロの手際…感動しました！こんなに上手な先生は初めてです"
